 0.00000e+00| 59.91525| 50023.05505| 5.70437|   9.46666| -6.06416|  4.26287|   0.00000|        0.00000| 967.19500|  0.22489| 12.00000| 10.93782|  2.84998|  0.98001|  2.30001|  7.75001|  6.90002|  8.35001|  4.16001|  7.44001|  5.77001|  7.05001|  5.97001|  7.20001|  7.05001| 7.39129e-01| 3.18618e-05| 2.56171e-01| 3.38493e-09| 6.35287e-11| 2.92301e-10| 1.30074e-09| 4.93253e-04| 5.98605e-06| 8.18974e-05| 3.22597e-07| 2.64131e-03| 1.04645e-06| 5.95827e-06| 2.02993e-07| 3.78425e-04| 9.52511e-07| 3.06077e-05| 1.00106e-05| 1.57228e-04| 2.07396e-05| 2.37296e-05| 1.00821e-16| 1.86247e-05| 3.02524e-04| 1.59100e-05| 1.08495e-05| 4.64430e-04| 7.24436e-01| 1.18577e-07| 2.71019e-01| 1.54525e-17| 1.00000e-99| 1.00000e-99| 4.11150e-32| 2.57040e-05| 8.03526e-06| 1.93642e-03| 7.43019e-08| 1.05682e-03| 9.70510e-05| 5.32108e-11| 2.00909e-10| 3.77572e-04| 6.10942e-08| 2.52348e-05| 1.80717e-05| 1.57398e-04| 1.41579e-05| 2.44343e-05| 5.17607e-06| 1.95884e-05| 3.02691e-04| 1.59221e-05| 1.08393e-05| 4.64515e-04
 0.00000e+00| 59.91525| 50023.05505| 5.70437|   9.46666| -6.06416|  4.26287|   0.00000|        0.00000| 967.19500|  0.22489| 12.00000| 10.93782|  2.84998|  0.98001|  2.30001|  7.75001|  6.90002|  8.35001|  4.16001|  7.44001|  5.77001|  7.05001|  5.97001|  7.20001|  7.05001| 7.39129e-01| 3.18618e-05| 2.56171e-01| 3.38493e-09| 6.35287e-11| 2.92301e-10| 1.30074e-09| 4.93253e-04| 5.98605e-06| 8.18974e-05| 3.22597e-07| 2.64131e-03| 1.04645e-06| 5.95827e-06| 2.02993e-07| 3.78425e-04| 9.52511e-07| 3.06077e-05| 1.00106e-05| 1.57228e-04| 2.07396e-05| 2.37296e-05| 1.00821e-16| 1.86247e-05| 3.02524e-04| 1.59100e-05| 1.08495e-05| 4.64430e-04| 7.24436e-01| 1.18577e-07| 2.71019e-01| 1.54525e-17| 1.00000e-99| 1.00000e-99| 4.11150e-32| 2.57040e-05| 8.03526e-06| 1.93642e-03| 7.43019e-08| 1.05682e-03| 9.70510e-05| 5.32108e-11| 2.00909e-10| 3.77572e-04| 6.10942e-08| 2.52348e-05| 1.80717e-05| 1.57398e-04| 1.41579e-05| 2.44343e-05| 5.17607e-06| 1.95884e-05| 3.02691e-04| 1.59221e-05| 1.08393e-05| 4.64515e-04
 1.16499e+04| 59.90514| 49964.86975| 5.70521|   9.49794| -6.06155|  4.25993|   0.00000|        0.00000| 965.22400|  0.22537| 12.00000| 10.93782|  2.84994|  0.98001|  2.30001|  7.75001|  6.90002|  8.35001|  4.16001|  7.44001|  5.77001|  7.05001|  5.97001|  7.20001|  7.05001| 7.39129e-01| 3.18618e-05| 2.56171e-01| 3.38485e-09| 6.35287e-11| 2.92301e-10| 1.30074e-09| 4.93253e-04| 5.98605e-06| 8.18974e-05| 3.22597e-07| 2.64131e-03| 1.04645e-06| 5.95827e-06| 2.02993e-07| 3.78425e-04| 9.52511e-07| 3.06077e-05| 1.00106e-05| 1.57228e-04| 2.07396e-05| 2.37296e-05| 9.96942e-17| 1.86247e-05| 3.02524e-04| 1.59100e-05| 1.08495e-05| 4.64430e-04| 7.22770e-01| 1.18850e-07| 2.72898e-01| 1.62181e-17| 1.00000e-99| 1.00000e-99| 3.97192e-32| 2.61216e-05| 8.20352e-06| 1.99986e-03| 7.67361e-08| 9.88553e-04| 9.18333e-05| 4.84172e-11| 1.36458e-10| 3.76704e-04| 6.16595e-08| 2.47172e-05| 1.87068e-05| 1.57398e-04| 1.37404e-05| 2.45471e-05| 5.48277e-06| 1.96789e-05| 3.02691e-04| 1.59221e-05| 1.08393e-05| 4.64515e-04
 2.31938e+04| 59.89506| 49913.30947| 5.70604|   9.52669| -6.05901|  4.25723|   0.00000|        0.00000| 963.39300|  0.22584| 12.00000| 10.93782|  2.84987|  0.98001|  2.30001|  7.75001|  6.90002|  8.35001|  4.16001|  7.44001|  5.77001|  7.05001|  5.97001|  7.20001|  7.05001| 7.39129e-01| 3.18618e-05| 2.56171e-01| 3.38478e-09| 6.35287e-11| 2.92301e-10| 1.30074e-09| 4.93253e-04| 5.98605e-06| 8.18974e-05| 3.22597e-07| 2.64131e-03| 1.04645e-06| 5.95827e-06| 2.02993e-07| 3.78425e-04| 9.52511e-07| 3.06077e-05| 1.00106e-05| 1.57228e-04| 2.07396e-05| 2.37296e-05| 9.85893e-17| 1.86247e-05| 3.02524e-04| 1.59100e-05| 1.08495e-05| 4.64430e-04| 7.21107e-01| 1.18304e-07| 2.74157e-01| 1.65196e-17| 1.00000e-99| 1.00000e-99| 3.90841e-32| 2.64241e-05| 8.35603e-06| 2.06063e-03| 7.88860e-08| 9.26830e-04| 8.70964e-05| 4.46684e-11| 9.35406e-11| 3.76704e-04| 6.20869e-08| 2.42103e-05| 1.93642e-05| 1.57398e-04| 1.33352e-05| 2.46037e-05| 5.75440e-06| 1.97242e-05| 3.02691e-04| 1.59221e-05| 1.08393e-05| 4.64515e-04
 3.46367e+04| 59.88501| 49867.15705| 5.70686|   9.55332| -6.05656|  4.25473|   0.00000|        0.00000| 961.68000|  0.22630| 12.00000| 10.93782|  2.84976|  0.98001|  2.30001|  7.75001|  6.90002|  8.35001|  4.16001|  7.44001|  5.77001|  7.05001|  5.97001|  7.20001|  7.05001| 7.39129e-01| 3.18618e-05| 2.56171e-01| 3.38470e-09| 6.35287e-11| 2.92301e-10| 1.30074e-09| 4.93253e-04| 5.98605e-06| 8.18974e-05| 3.22597e-07| 2.64131e-03| 1.04645e-06| 5.95827e-06| 2.02993e-07| 3.78425e-04| 9.52511e-07| 3.06077e-05| 1.00106e-05| 1.57228e-04| 2.07396e-05| 2.37296e-05| 9.75079e-17| 1.86247e-05| 3.02524e-04| 1.59100e-05| 1.08495e-05| 4.64430e-04| 7.19449e-01| 1.17490e-07| 2.76058e-01| 1.66341e-17| 1.00000e-99| 1.00000e-99| 3.89045e-32| 2.67301e-05| 8.47227e-06| 2.10863e-03| 8.09096e-08| 8.70964e-04| 8.27942e-05| 4.15911e-11| 6.42688e-11| 3.76704e-04| 6.25173e-08| 2.37137e-05| 1.99526e-05| 1.57398e-04| 1.29718e-05| 2.46604e-05| 6.01174e-06| 1.98153e-05| 3.02691e-04| 1.59221e-05| 1.08393e-05| 4.64515e-04
 4.59809e+04| 59.87500| 49825.01078| 5.70767|   9.57838| -6.05420|  4.25238|   0.00000|        0.00000| 960.05600|  0.22676| 12.00000| 10.93782|  2.84957|  0.98001|  2.30001|  7.75001|  6.90002|  8.35001|  4.16001|  7.44001|  5.77001|  7.05001|  5.97001|  7.20001|  7.05001| 7.39129e-01| 3.18618e-05| 2.56171e-01| 3.38446e-09| 6.35287e-11| 2.92301e-10| 1.30074e-09| 4.93253e-04| 5.98605e-06| 8.18974e-05| 3.22597e-07| 2.64131e-03| 1.04645e-06| 5.95827e-06| 2.02993e-07| 3.78425e-04| 9.52511e-07| 3.06077e-05| 1.00106e-05| 1.57228e-04| 2.07396e-05| 2.37296e-05| 9.64451e-17| 1.86247e-05| 3.02524e-04| 1.59100e-05| 1.08495e-05| 4.64430e-04| 7.17794e-01| 1.16413e-07| 2.77971e-01| 1.66341e-17| 1.00000e-99| 1.00000e-99| 3.90841e-32| 2.70396e-05| 8.59014e-06| 2.15774e-03| 8.27942e-08| 8.20352e-04| 7.87046e-05| 3.89942e-11| 4.45656e-11| 3.76704e-04| 6.28058e-08| 2.32809e-05| 2.05116e-05| 1.57398e-04| 1.26183e-05| 2.47172e-05| 6.23735e-06| 1.98609e-05| 3.02691e-04| 1.59221e-05| 1.08393e-05| 4.64515e-04
 5.72286e+04| 59.86502| 49785.05413| 5.70846|   9.60251| -6.05191|  4.25013|   0.00000|        0.00000| 958.49000|  0.22721| 12.00000| 10.93782|  2.84928|  0.98001|  2.30001|  7.75001|  6.90002|  8.35001|  4.16001|  7.44001|  5.77001|  7.05001|  5.97001|  7.20001|  7.05001| 7.39129e-01| 3.18618e-05| 2.56171e-01| 3.38415e-09| 6.35287e-11| 2.92301e-10| 1.30074e-09| 4.93253e-04| 5.98605e-06| 8.18974e-05| 3.22597e-07| 2.64131e-03| 1.04645e-06| 5.95827e-06| 2.02993e-07| 3.78425e-04| 9.52511e-07| 3.06077e-05| 1.00106e-05| 1.57228e-04| 2.07396e-05| 2.37296e-05| 9.54048e-17| 1.86247e-05| 3.02524e-04| 1.59100e-05| 1.08495e-05| 4.64430e-04| 7.16143e-01| 1.15345e-07| 2.79254e-01| 1.66341e-17| 1.00000e-99| 1.00000e-99| 3.91742e-32| 2.72898e-05| 8.68960e-06| 2.20293e-03| 8.45279e-08| 7.72681e-04| 7.46449e-05| 3.66438e-11| 3.10456e-11| 3.76704e-04| 6.30957e-08| 2.28034e-05| 2.10863e-05| 1.57398e-04| 1.22744e-05| 2.47742e-05| 6.45654e-06| 1.99067e-05| 3.02691e-04| 1.59221e-05| 1.08393e-05| 4.64515e-04
 6.83901e+04| 59.85506| 49747.11523| 5.70924|   9.62581| -6.04968|  4.24795|   0.00000|        0.00000| 956.97200|  0.22766| 12.00000| 10.93782|  2.84884|  0.98001|  2.30001|  7.75001|  6.90002|  8.35001|  4.16001|  7.44001|  5.77001|  7.05001|  5.97001|  7.20001|  7.05001| 7.39129e-01| 3.18618e-05| 2.56171e-01| 3.38369e-09| 6.35287e-11| 2.92301e-10| 1.30074e-09| 4.93253e-04| 5.98605e-06| 8.18974e-05| 3.22597e-07| 2.64131e-03| 1.04645e-06| 5.95827e-06| 2.02993e-07| 3.78425e-04| 9.52511e-07| 3.06077e-05| 1.00106e-05| 1.57228e-04| 2.07396e-05| 2.37296e-05| 9.43822e-17| 1.86247e-05| 3.02524e-04| 1.59100e-05| 1.08495e-05| 4.64430e-04| 7.14496e-01| 1.14288e-07| 2.81190e-01| 1.66341e-17| 1.00000e-99| 1.00000e-99| 3.94457e-32| 2.76058e-05| 8.81049e-06| 2.24388e-03| 8.60994e-08| 7.29458e-04| 7.09578e-05| 3.45939e-11| 2.19280e-11| 3.76704e-04| 6.32412e-08| 2.23872e-05| 2.16272e-05| 1.57398e-04| 1.19674e-05| 2.48886e-05| 6.66807e-06| 1.99986e-05| 3.02691e-04| 1.59221e-05| 1.08393e-05| 4.64515e-04
 7.94743e+04| 59.84513| 49711.05165| 5.71001|   9.64836| -6.04750|  4.24585|   0.00000|        0.00000| 955.50000|  0.22810| 12.00000| 10.93782|  2.84820|  0.98001|  2.30001|  7.75001|  6.90002|  8.35001|  4.16001|  7.44001|  5.77001|  7.05001|  5.97001|  7.20001|  7.05001| 7.39129e-01| 3.18618e-05| 2.56171e-01| 3.38298e-09| 6.35287e-11| 2.92301e-10| 1.30074e-09| 4.93253e-04| 5.98605e-06| 8.18974e-05| 3.22597e-07| 2.64131e-03| 1.04645e-06| 5.95827e-06| 2.02993e-07| 3.78425e-04| 9.52511e-07| 3.06077e-05| 1.00106e-05| 1.57228e-04| 2.07396e-05| 2.37296e-05| 9.33770e-17| 1.86247e-05| 3.02524e-04| 1.59100e-05| 1.08495e-05| 4.64430e-04| 7.12853e-01| 1.13240e-07| 2.83139e-01| 1.65959e-17| 1.00000e-99| 1.00000e-99| 3.97192e-32| 2.78612e-05| 8.91251e-06| 2.28034e-03| 8.74984e-08| 6.90240e-04| 6.74528e-05| 3.27341e-11| 1.56315e-11| 3.76704e-04| 6.35331e-08| 2.19786e-05| 2.21309e-05| 1.57398e-04| 1.16413e-05| 2.49459e-05| 6.85488e-06| 2.00447e-05| 3.02691e-04| 1.59221e-05| 1.08393e-05| 4.64515e-04
 9.04873e+04| 59.83521| 49676.56269| 5.71077|   9.67024| -6.04535|  4.24381|   0.00000|        0.00000| 954.06800|  0.22854| 12.00000| 10.93782|  2.84731|  0.98001|  2.30001|  7.75001|  6.90002|  8.35001|  4.16001|  7.44001|  5.77001|  7.05001|  5.97001|  7.20001|  7.05001| 7.39129e-01| 3.18618e-05| 2.56171e-01| 3.38197e-09| 6.35287e-11| 2.92301e-10| 1.30074e-09| 4.93253e-04| 5.98605e-06| 8.18974e-05| 3.22597e-07| 2.64131e-03| 1.04645e-06| 5.95827e-06| 2.02993e-07| 3.78425e-04| 9.52511e-07| 3.06077e-05| 1.00106e-05| 1.57228e-04| 2.07396e-05| 2.37296e-05| 9.23911e-17| 1.86247e-05| 3.02524e-04| 1.59100e-05| 1.08495e-05| 4.64430e-04| 7.11214e-01| 1.12202e-07| 2.84446e-01| 1.65959e-17| 1.00000e-99| 1.00000e-99| 3.99945e-32| 2.81838e-05| 8.99498e-06| 2.31206e-03| 8.89201e-08| 6.51628e-04| 6.41210e-05| 3.10456e-11| 1.12980e-11| 3.76704e-04| 6.36796e-08| 2.16272e-05| 2.26464e-05| 1.57398e-04| 1.13501e-05| 2.50035e-05| 7.03072e-06| 2.00909e-05| 3.02691e-04| 1.59221e-05| 1.08393e-05| 4.64515e-04
