 5   0 lmc  f5-0.lmc.track.dat
 5   0 mw   f5-0.mw.track.dat
 5   0 smc  f5-0.smc.track.dat
 5 117 mw   f5-117.mw.track.dat
 5 119 lmc  f5-119.lmc.track.dat
 5 122 smc  f5-122.smc.track.dat
 5 175 mw   f5-175.mw.track.dat
 5 178 lmc  f5-178.lmc.track.dat
 5 183 smc  f5-183.smc.track.dat
 5 233 mw   f5-233.mw.track.dat
 5 237 lmc  f5-237.lmc.track.dat
 5 244 smc  f5-244.smc.track.dat
 5 291 mw   f5-291.mw.track.dat
 5 297 lmc  f5-297.lmc.track.dat
 5 306 smc  f5-306.smc.track.dat
 5 346 mw   f5-346.mw.track.dat
 5 355 lmc  f5-355.lmc.track.dat
 5 368 smc  f5-368.smc.track.dat
 5 397 mw   f5-397.mw.track.dat
 5 414 lmc  f5-414.lmc.track.dat
 5 430 smc  f5-430.smc.track.dat
 5 444 mw   f5-444.mw.track.dat
 5 468 lmc  f5-468.lmc.track.dat
 5 487 smc  f5-487.smc.track.dat
 5 491 mw   f5-491.mw.track.dat
 5 524 lmc  f5-524.lmc.track.dat
 5 537 mw   f5-537.mw.track.dat
 5 540 mw   f5-540.mw.track.dat
 5 543 smc  f5-543.smc.track.dat
 5 559 lmc  f5-559.lmc.track.dat
 5  58 mw   f5-58.mw.track.dat
 5 586 smc  f5-586.smc.track.dat
 5  59 lmc  f5-59.lmc.track.dat
 5  61 smc  f5-61.smc.track.dat
 6   0 lmc  f6-0.lmc.track.dat
 6   0 smc  f6-0.smc.track.dat
 6 118 lmc  f6-118.lmc.track.dat
 6 121 smc  f6-121.smc.track.dat
 6 177 lmc  f6-177.lmc.track.dat
 6 182 smc  f6-182.smc.track.dat
 6 236 lmc  f6-236.lmc.track.dat
 6 243 smc  f6-243.smc.track.dat
 6 294 lmc  f6-294.lmc.track.dat
 6 304 smc  f6-304.smc.track.dat
 6 353 lmc  f6-353.lmc.track.dat
 6 364 smc  f6-364.smc.track.dat
 6 410 lmc  f6-410.lmc.track.dat
 6 426 smc  f6-426.smc.track.dat
 6 465 lmc  f6-465.lmc.track.dat
 6 484 smc  f6-484.smc.track.dat
 6 520 lmc  f6-520.lmc.track.dat
 6 541 smc  f6-541.smc.track.dat
 6 572 lmc  f6-572.lmc.track.dat
 6  59 lmc  f6-59.lmc.track.dat
 6 594 smc  f6-594.smc.track.dat
 6  60 smc  f6-60.smc.track.dat
 7   0 lmc  f7-0.lmc.track.dat
 7   0 mw   f7-0.mw.track.dat
 7   0 smc  f7-0.smc.track.dat
 7 115 mw   f7-115.mw.track.dat
 7 117 lmc  f7-117.lmc.track.dat
 7 121 smc  f7-121.smc.track.dat
 7 173 mw   f7-173.mw.track.dat
 7 176 lmc  f7-176.lmc.track.dat
 7 181 smc  f7-181.smc.track.dat
 7 229 mw   f7-229.mw.track.dat
 7 235 lmc  f7-235.lmc.track.dat
 7 242 smc  f7-242.smc.track.dat
 7 284 mw   f7-284.mw.track.dat
 7 293 lmc  f7-293.lmc.track.dat
 7 303 smc  f7-303.smc.track.dat
 7 339 mw   f7-339.mw.track.dat
 7 363 smc  f7-363.smc.track.dat
 7 390 mw   f7-390.mw.track.dat
 7 404 lmc  f7-404.lmc.track.dat
 7 423 smc  f7-423.smc.track.dat
 7 445 mw   f7-445.mw.track.dat
 7 463 lmc  f7-463.lmc.track.dat
 7 481 smc  f7-481.smc.track.dat
 7 491 mw   f7-491.mw.track.dat
 7 517 lmc  f7-517.lmc.track.dat
 7 540 smc  f7-540.smc.track.dat
 7 552 mw   f7-552.mw.track.dat
 7  57 mw   f7-57.mw.track.dat
 7 573 lmc  f7-573.lmc.track.dat
 7  59 lmc  f7-59.lmc.track.dat
 7 595 smc  f7-595.smc.track.dat
 7  60 smc  f7-60.smc.track.dat
 8   0 lmc  f8-0.lmc.track.dat
 8   0 smc  f8-0.smc.track.dat
 8 117 lmc  f8-117.lmc.track.dat
 8 120 smc  f8-120.smc.track.dat
 8 175 lmc  f8-175.lmc.track.dat
 8 181 smc  f8-181.smc.track.dat
 8 234 lmc  f8-234.lmc.track.dat
 8 241 smc  f8-241.smc.track.dat
 8 291 lmc  f8-291.lmc.track.dat
 8 301 smc  f8-301.smc.track.dat
 8 347 lmc  f8-347.lmc.track.dat
 8 362 smc  f8-362.smc.track.dat
 8 403 lmc  f8-403.lmc.track.dat
 8 423 smc  f8-423.smc.track.dat
 8 460 lmc  f8-460.lmc.track.dat
 8 480 smc  f8-480.smc.track.dat
 8 515 lmc  f8-515.lmc.track.dat
